  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  1.728699111822982939E-003  1.000000000000000000E+000 -2.862293735361731706E-017  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804441790E-001  2.031484361688050411E-001  7.653594048116463266E-001
  1.757444654622945628E-003  9.999999999999995559E-001 -2.949029909160572061E-017  1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804461774E-001  2.027459766311056344E-001  7.657618643493490085E-001
  1.786392967465443623E-003  9.999999999999994449E-001 -2.081668171172168513E-017  1.561251128379126385E-017  0.000000000000000000E+000  9.685078409804480648E-001  2.023361667283137821E-001  7.661716742521417212E-001
  1.815540900018460836E-003  1.000000000000000222E+000  5.637851296924623057E-017  2.775557561562891351E-017  0.000000000000000000E+000  9.685078409804506183E-001  2.019324080113416575E-001  7.665754329691161217E-001
  1.844857796529818759E-003  9.999999999999995559E-001 -4.683753385137379155E-017 -1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804218635E-001  2.015245193908858368E-001  7.669833215895314193E-001
  1.874373641521365035E-003  9.999999999999993339E-001 -8.673617379884035472E-019  4.510281037539698445E-017  0.000000000000000000E+000  9.685078409804239730E-001  2.011088738335458093E-001  7.673989671468741669E-001
  1.904072115055326087E-003  1.000000000000000000E+000 -2.602085213965210642E-018  3.122502256758252770E-017  0.000000000000000000E+000  9.685078409804285249E-001  2.007088389706322140E-001  7.677990020097894552E-001
  1.933938170342002719E-003  9.999999999999997780E-001  4.423544863740858091E-017 -6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804730448E-001  2.003400391485000709E-001  7.681678018319293422E-001
  1.963749527332552501E-003  9.999999999999997780E-001  2.602085213965210642E-018  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804431798E-001  1.999690810124553075E-001  7.685387599679454063E-001
  1.993430215929886846E-003  9.999999999999997780E-001  7.806255641895631925E-018 -4.683753385137379155E-017  0.000000000000000000E+000  9.685078409804437349E-001  1.996181426618103827E-001  7.688896983185927736E-001
  2.022997621954147375E-003  1.000000000000000000E+000 -5.984795992119984476E-017  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804452892E-001  1.993158414518900745E-001  7.691919995285132483E-001
  2.052481591415814856E-003  1.000000000000000000E+000  4.857225732735059864E-017 -1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804470656E-001  1.990381862707867877E-001  7.694696547096192552E-001
  2.081862914156316045E-003  9.999999999999998890E-001  3.989863994746656317E-017  2.775557561562891351E-017  0.000000000000000000E+000  9.685078409804467325E-001  1.987743163885569153E-001  7.697335245918557334E-001
  2.111129535069921313E-003  9.999999999999996669E-001 -3.816391647148975608E-017  2.775557561562891351E-017  0.000000000000000000E+000  9.685078409804456223E-001  1.985458691926400010E-001  7.699619717877773661E-001
  2.140295028238317458E-003  9.999999999999995559E-001  0.000000000000000000E+000 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804481758E-001  1.983604905573221056E-001  7.701473504230945677E-001
  2.169356450890919975E-003  9.999999999999996669E-001 -1.387778780781445676E-017 -1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804490640E-001  1.981799353238316019E-001  7.703279056565870420E-001
